Reference,Value,Footprint,Manufacturer,MPN,Qty,Notes
C11A,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 1 input filter
C11B,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 1 input AC
C12A,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 2
C12B,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 2
C13A,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 3
C13B,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 3
C14A,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 4
C14B,47nF X7R 50V,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H473KA01L,1,Channel 4
R11A,0R,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-070RL,1,Channel 1 series
R12A,0R,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-070RL,1,Channel 2
R13A,0R,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-070RL,1,Channel 3
R14A,0R,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-070RL,1,Channel 4
R11B,10K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0710KL,1,Channel 1 div upper
R12B,10K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0710KL,1,Channel 2
R13B,10K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0710KL,1,Channel 3
R14B,10K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-0710KL,1,Channel 4
R11C,330K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07330KL,1,Channel 1 pull-up
R12C,330K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07330KL,1,Channel 2
R13C,330K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07330KL,1,Channel 3
R14C,330K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-07330KL,1,Channel 4
R11D,3.3K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-073K3L,1,Channel 1 div lower
R12D,3.3K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-073K3L,1,Channel 2
R13D,3.3K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-073K3L,1,Channel 3
R14D,3.3K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-073K3L,1,Channel 4
R11E,1K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071KL,1,Channel 1 gate series
R12E,1K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071KL,1,Channel 2
R13E,1K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071KL,1,Channel 3
R14E,1K 1%,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805FR-071KL,1,Channel 4
Q11A,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,SOT-23 SMD equivalent
Q11B,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q11C,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q12A,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q12B,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q12C,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q13A,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q13B,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q13C,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q14A,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q14B,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q14C,2N7000,Package_TO_SOT_SMD:SOT-23,Onsemi,2N7002,1,
Q11D,BSS92,Package_TO_SOT_SMD:SOT-23,Infineon,BSS92,1,P-channel switch (replaces 2SJ196)
Q12D,BSS92,Package_TO_SOT_SMD:SOT-23,Infineon,BSS92,1,
Q13D,BSS92,Package_TO_SOT_SMD:SOT-23,Infineon,BSS92,1,
Q14D,BSS92,Package_TO_SOT_SMD:SOT-23,Infineon,BSS92,1,
D11A,1N5819,Diode_SMD:D_SOD-123,Onsemi,MBR0520LT1G,1,Schottky 0.5A SOD-123
D12A,1N5819,Diode_SMD:D_SOD-123,Onsemi,MBR0520LT1G,1,
D13A,1N5819,Diode_SMD:D_SOD-123,Onsemi,MBR0520LT1G,1,
D14A,1N5819,Diode_SMD:D_SOD-123,Onsemi,MBR0520LT1G,1,
U50,LM339,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,TI,LM339DR,1,Quad comparator
U51,HCF4051BEY,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,STM,HCF4051M013TR,1,8:1 mux primary
U52,HCF4051BEY,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,STM,HCF4051M013TR,1,8:1 mux secondary
P1,Header 1x8,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Wurth,61300811121,1,Loop inputs
pl,Header 1x8,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Wurth,61300811121,1,Loop outputs
J_BUS,Header 2x8,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,Wurth,61201621621,1,Backplane bus
C_BYP_50,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H104KA01L,1,LM339 bypass
C_BYP_51,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H104KA01L,1,U51 bypass
C_BYP_52,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21BR71H104KA01L,1,U52 bypass
