Reference,Value,Footprint,Manufacturer,MPN,Qty,Notes
U1,STM32F103C8T6,Package_QFP:LQFP-48_7x7mm_P0.5mm,ST,STM32F103C8T6,1,Main MCU 72MHz
U2,MP1584EN,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,MPS,MP1584EN,1,Buck 12V to 3.8V
U3,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,AMS,AMS1117-3.3,1,3V3 LDO
U4,W25Q80DV,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,Winbond,W25Q80DVSSIG,1,1MB SPI NOR flash
U5,AIR780E,Module:AIR780E_LCC,Air,AIR780E,1,LTE Cat.1bis module
Y1,8MHz,Crystal:Crystal_SMD_HC49-SD,Abracon,ABLS-8.000MHz-B4-T,1,HSE
Y2,32.768kHz,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,Abracon,ABS06-32.768kHz,1,LSE for RTC
J_BUS,Header 2x8,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,Wurth,61201621621,1,Backplane bus
J_SWD,Header 1x4,Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical,Wurth,62000411121,1,SWD debug
J_SIM,SIM card holder,Connector_Card:Hirose_DM1AA-SF-PEJ-MA82,Hirose,DM1AA-SF-PEJ,1,Push-push SIM
J_SD,microSD socket,Connector_Card:microSD_HC_Hirose_DM3BT-DSF-PEJS,Hirose,DM3BT-DSF-PEJS,1,SD socket
J_USB,USB-C 6-pin,Connector_USB:USB_C_Receptacle_GCT_USB4500,GCT,USB4500-03-A,1,USB-C device port
J_ANT,U.FL,Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical,Hirose,U.FL-R-SMT-1,1,LTE antenna
C_VDD_BYP,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,8,VDD bypass (4 STM32 + 1 VDDA + 1 W25Q80 + 1 SD + 1 LDO)
C_VDDA_FILT,10nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,1,VDDA HF filter
L_VDDA,Ferrite Bead 600R,Inductor_SMD:L_0805_2012Metric,Murata,BLM21PG600SN1D,1,VDDA filter
C_BULK_3V3,4.7uF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,2,3V3 LDO out
C_BULK_5V,10uF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,1,5V near LDO in
C_RF_BULK,470uF/16V,Capacitor_SMD:CP_Elec_8x10.5,Panasonic,EEEFK1C471P,1,AIR780 Vbat
C_RF_BYP,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,4,AIR780 Vbat ×4
C_BUCK_IN,22uF/25V,Capacitor_SMD:C_1210_3225Metric,Murata,GRM32,1,
C_BUCK_OUT,22uF/16V,Capacitor_SMD:C_1210_3225Metric,Murata,GRM32,1,
L_BUCK,10uH/3A,Inductor_SMD:L_Bourns_SRR1280,Bourns,SRR1280-100M,1,
D_BUCK,SS34,Diode_SMD:D_SMA,Onsemi,SS34,1,
D_USB,SS14,Diode_SMD:D_SOD-123,Onsemi,SS14,1,USB Vbus diode
C_HSE,18pF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,2,HSE crystal load
C_LSE,6pF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,2,LSE crystal load
C_RST,100nF,Capacitor_SMD:C_0805_2012Metric,Murata,GRM21,1,Reset filter
R_RST_PU,10K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,1,NRST pull-up
R_BOOT0,10K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,1,BOOT0 pull-down/up via jumper
R_LED,1K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,7,LEDs (heartbeat + 4 onloop + status + net)
R_VBAT_DIV_HI,100K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,1,VBAT divider hi (1:11)
R_VBAT_DIV_LO,10K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,1,VBAT divider lo
R_PU_PWRKEY,10K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,1,
R_USB_CC,5.1K,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,2,USB-C CC1/CC2
R_USB_DPDM,22R,Resistor_SMD:R_0805_2012Metric,Yageo,RC0805,2,USB D+/D- series
LED_HB,Blue,LED_SMD:LED_0805_2012Metric,Wurth,150080BS75000,1,Heartbeat
LED_LOOP,Green,LED_SMD:LED_0805_2012Metric,Wurth,150080GS75000,4,onloop0-3
LED_CONN,Yellow,LED_SMD:LED_0805_2012Metric,Wurth,150080YS75000,1,connection state
LED_NET,Yellow,LED_SMD:LED_0805_2012Metric,Wurth,150080YS75000,1,4G net light
SW_RESET,Tactile 6mm,Button_Switch_SMD:SW_SPST_TL3305,E-Switch,TL3305AF160QJ,1,NRST
SW_BOOT,Tactile 6mm,Button_Switch_SMD:SW_SPST_TL3305,E-Switch,TL3305AF160QJ,1,BOOT0/DFU
TVS_SIM,SP0503,Package_TO_SOT_SMD:SOT-23,Littelfuse,SP0503BAHTG,1,SIM ESD
TVS_USB,USBLC6-2SC6,Package_TO_SOT_SMD:SOT-23-6,STM,USBLC6-2SC6,1,USB ESD
TVS_12V,SMAJ24CA,Diode_SMD:D_SMA,Littelfuse,SMAJ24CA,1,
